date,ticker,tier,mini,small,base,consensus,action,avg_pct,horizon,target_date,entry,tp,sl,filter
2026-05-07,BITF,A,DOWN,DOWN,DOWN,AGREE DOWN,SKIP,-48.8,60.0,2026-07-29,4.11,0.25,0.02,SHORT DISABLED
2026-05-07,PATH,A,UP,UP,UP,AGREE UP,HOLD,22.44,60.0,2026-07-29,10.5,0.2,0.1,
2026-05-07,HON,A,DOWN,DOWN,DOWN,AGREE DOWN,SKIP,-8.35,60.0,2026-07-29,216.86,0.15,0.1,SHORT DISABLED
2026-05-07,ITW,A,DOWN,DOWN,UP,MIXED,SKIP,-0.3,60.0,2026-07-29,260.52,0.2,0.1,
2026-05-07,NCLH,A,UP,UP,UP,AGREE UP,HOLD,25.97,60.0,2026-07-29,17.75,0.25,0.1,
2026-05-07,NVAX,A,DOWN,DOWN,DOWN,AGREE DOWN,SKIP,-16.46,60.0,2026-07-29,9.36,0.3,0.1,SHORT DISABLED
2026-05-07,WK,A,UP,UP,UP,AGREE UP,HOLD,50.8,60.0,2026-07-29,51.53,0.25,0.1,
2026-05-07,AAL,A,UP,UP,UP,AGREE UP,HOLD,6.63,60.0,2026-07-29,12.94,0.3,0.1,
2026-05-08,RIVN,A,UP,UP,DOWN,MIXED,SKIP,3.48,40.0,2026-07-02,14.18,0.15,0.02,
2026-05-08,BITF,A,DOWN,DOWN,DOWN,AGREE DOWN,SKIP,-53.49,60.0,2026-07-30,4.01,0.25,0.02,SHORT DISABLED
2026-05-08,PATH,A,UP,UP,UP,AGREE UP,HOLD,18.13,60.0,2026-07-30,10.93,0.2,0.1,
2026-05-08,HON,A,DOWN,UP,DOWN,MIXED,SKIP,-1.41,60.0,2026-07-30,216.07,0.15,0.1,
2026-05-08,ITW,A,UP,DOWN,UP,MIXED,SKIP,2.05,60.0,2026-07-30,255.53,0.2,0.1,
2026-05-08,NCLH,A,UP,UP,UP,AGREE UP,HOLD,31.21,60.0,2026-07-30,17.22,0.25,0.1,
2026-05-08,NVAX,A,DOWN,DOWN,DOWN,AGREE DOWN,SKIP,-17.6,60.0,2026-07-30,9.23,0.3,0.1,SHORT DISABLED
2026-05-08,WK,A,UP,UP,UP,AGREE UP,HOLD,51.32,60.0,2026-07-30,52.29,0.25,0.1,
2026-05-08,AAL,A,UP,DOWN,DOWN,MIXED,SKIP,-2.61,60.0,2026-07-30,13.18,0.3,0.1,
2026-05-11,RIVN,A,UP,UP,UP,AGREE UP,BUY,13.5,40.0,2026-07-03,14.22,0.15,0.02,
2026-05-11,BITF,A,DOWN,DOWN,DOWN,AGREE DOWN,SKIP,-49.86,60.0,2026-07-31,3.97,0.25,0.02,SHORT DISABLED
2026-05-11,PATH,A,UP,UP,UP,AGREE UP,HOLD,13.66,60.0,2026-07-31,10.79,0.2,0.1,
